127.0.0.1 - - [25/Mar/2026:03:50:06 +0000] "POST /solr/climate_change_core/schema?_=1774409606088&wt=json HTTP/1.1" 400 1728
127.0.0.1 - - [25/Mar/2026:03:50:45 +0000] "POST /solr/climate_change_core/schema?_=1774409606088&wt=json HTTP/1.1" 400 1731
127.0.0.1 - - [25/Mar/2026:03:51:15 +0000] "POST /solr/climate_change_core/schema?_=1774409606088&wt=json HTTP/1.1" 400 1684
127.0.0.1 - - [25/Mar/2026:03:51:27 +0000] "POST /solr/climate_change_core/schema?_=1774409606088&wt=json HTTP/1.1" 400 2107
127.0.0.1 - - [25/Mar/2026:03:51:36 +0000] "POST /solr/climate_change_core/schema?_=1774409606088&wt=json HTTP/1.1" 400 1730
127.0.0.1 - - [25/Mar/2026:03:52:13 +0000] "GET /solr/partials/sqlquery.html HTTP/1.1" 200 1486
127.0.0.1 - - [25/Mar/2026:03:52:13 +0000] "GET /solr/admin/cores?_=1774409602362&indexInfo=false&wt=json HTTP/1.1" 200 928
127.0.0.1 - - [25/Mar/2026:03:52:13 +0000] "GET /solr/admin/info/system?_=1774409602362&wt=json HTTP/1.1" 200 1527
127.0.0.1 - - [25/Mar/2026:03:52:13 +0000] "GET /solr/admin/collections?_=1774409602362&action=LIST&wt=json HTTP/1.1" 200 99
127.0.0.1 - - [25/Mar/2026:03:52:13 +0000] "GET /solr/admin/collections?_=1774409602362&action=LISTALIASES&wt=json HTTP/1.1" 200 95
127.0.0.1 - - [25/Mar/2026:03:52:13 +0000] "GET /solr/admin/cores?_=1774409602362&indexInfo=false&wt=json HTTP/1.1" 200 928
127.0.0.1 - - [25/Mar/2026:03:52:13 +0000] "GET /solr/climate_change_core/admin/luke?_=1774409606088&show=schema&wt=json HTTP/1.1" 200 6185
127.0.0.1 - - [25/Mar/2026:03:52:13 +0000] "GET /solr/climate_change_core/config?_=1774409606088&wt=json HTTP/1.1" 200 2363
127.0.0.1 - - [25/Mar/2026:03:52:13 +0000] "GET /solr/climate_change_core/admin/luke?_=1774409606088&numTerms=0&wt=json HTTP/1.1" 200 1491
127.0.0.1 - - [25/Mar/2026:03:52:13 +0000] "GET /solr/admin/info/system?_=1774409602362&wt=json HTTP/1.1" 200 1528
127.0.0.1 - - [25/Mar/2026:03:52:13 +0000] "GET /solr/admin/collections?_=1774409602362&action=LIST&wt=json HTTP/1.1" 200 99
127.0.0.1 - - [25/Mar/2026:03:52:13 +0000] "GET /solr/admin/collections?_=1774409602362&action=LISTALIASES&wt=json HTTP/1.1" 200 95
127.0.0.1 - - [25/Mar/2026:03:52:18 +0000] "POST /solr/climate_change_core/schema?_=1774409606088&wt=json HTTP/1.1" 400 1730
127.0.0.1 - - [25/Mar/2026:03:52:57 +0000] "POST /solr/climate_change_core/schema?_=1774409606088&wt=json HTTP/1.1" 400 1684
127.0.0.1 - - [25/Mar/2026:03:53:05 +0000] "GET /solr/admin/cores?_=1774409602362&indexInfo=false&wt=json HTTP/1.1" 200 928
127.0.0.1 - - [25/Mar/2026:03:53:05 +0000] "GET /solr/climate_change_core/config?_=1774409606088&wt=json HTTP/1.1" 200 2362
127.0.0.1 - - [25/Mar/2026:03:53:05 +0000] "GET /solr/climate_change_core/admin/luke?_=1774409606088&show=schema&wt=json HTTP/1.1" 200 6183
127.0.0.1 - - [25/Mar/2026:03:53:05 +0000] "GET /solr/climate_change_core/admin/luke?_=1774409606088&numTerms=0&wt=json HTTP/1.1" 200 1491
127.0.0.1 - - [25/Mar/2026:03:53:05 +0000] "GET /solr/admin/info/system?_=1774409602362&wt=json HTTP/1.1" 200 1520
127.0.0.1 - - [25/Mar/2026:03:53:06 +0000] "GET /solr/admin/collections?_=1774409602362&action=LIST&wt=json HTTP/1.1" 200 99
127.0.0.1 - - [25/Mar/2026:03:53:06 +0000] "GET /solr/admin/collections?_=1774409602362&action=LISTALIASES&wt=json HTTP/1.1" 200 95
127.0.0.1 - - [25/Mar/2026:03:54:31 +0000] "GET /solr/partials/schema-designer.html HTTP/1.1" 200 11407
127.0.0.1 - - [25/Mar/2026:03:54:31 +0000] "GET /solr/admin/cores?_=1774409602362&indexInfo=false&wt=json HTTP/1.1" 200 928
127.0.0.1 - - [25/Mar/2026:03:54:31 +0000] "GET /api/schema-designer/configs?_=1774409602362&wt=json HTTP/1.1" 200 108
127.0.0.1 - - [25/Mar/2026:03:54:31 +0000] "GET /solr/img/ico/disk-black.png HTTP/1.1" 200 434
127.0.0.1 - - [25/Mar/2026:03:54:31 +0000] "GET /solr/img/ico/document-convert.png HTTP/1.1" 200 772
127.0.0.1 - - [25/Mar/2026:03:54:31 +0000] "GET /solr/img/ico/download-cloud.png HTTP/1.1" 200 1643
127.0.0.1 - - [25/Mar/2026:03:54:31 +0000] "GET /solr/img/ico/pencil.png HTTP/1.1" 200 1529
127.0.0.1 - - [25/Mar/2026:03:54:31 +0000] "GET /solr/img/ico/cross-button.png HTTP/1.1" 200 588
127.0.0.1 - - [25/Mar/2026:03:54:31 +0000] "GET /solr/admin/info/system?_=1774409602362&wt=json HTTP/1.1" 200 1521
